surv	day	mo	yr	season	trans	cap	Group	Fun_group	Genus	Species	swab	Zoospore_load_NEW	Zoospore_load	Second_load	TC	R	sex	Tb	Ts	SVL	mass	act	ht	dist	subst	mtr	bk	time	AM_PM	Num
27	21	7	2011	wet	Cascada	3	Frog	NA	Espadarana	prosoblepon	NA	NA	NA	NA	214	R	m	22.3	22.4	NA	NA	NA	175	0	lf	18	r	2001	PM	1
27	21	7	2011	wet	Cascada	4	Frog	NA	Espadarana	prosoblepon	EC_132	0.064689028	NA	NA	225	NA	m	22.3	22.4	24.89	0.85	NA	220	0	lf	20	l	2003	PM	1
27	21	7	2011	wet	Cascada	5	Frog	NA	Espadarana	prosoblepon	EC_133	0.385848247	NA	NA	230	NA	m	22.4	22.5	24.58	0.8	NA	100	30	lf	30	r	2010	PM	1
27	21	7	2011	wet	Cascada	7	Frog	NA	Espadarana	prosoblepon	NA	NA	NA	NA	213	R	m	22.5	22.6	NA	NA	NA	70	200	lf	40	r	2023	PM	1
27	21	7	2011	wet	Cascada	9	Frog	NA	Espadarana	prosoblepon	EC_136	0	NA	NA	231	NA	m	22.5	22.3	24.6	0.8	NA	150	0	lf	47	r	2037	PM	1
27	21	7	2011	wet	Cascada	10	Frog	NA	Espadarana	prosoblepon	EC_137	0	NA	NA	232	NA	f	22.4	22.5	26.41	1.15	NA	50	0	lf	47	r	2037	PM	1
27	21	7	2011	wet	Cascada	16	Frog	NA	Espadarana	prosoblepon	NA	NA	NA	NA	203	R	m	22.6	22.7	NA	NA	NA	90	10	lf	61	r	2049	PM	1
27	21	7	2011	wet	Cascada	17	Frog	NA	Espadarana	prosoblepon	EC_139	0	NA	NA	233	NA	m	22.7	22.7	23.22	0.7	NA	175	0	lf	80	c	2055	PM	1
27	21	7	2011	wet	Cascada	19	Frog	NA	Espadarana	prosoblepon	NA	NA	NA	NA	220	R	m	22.6	22.7	NA	NA	NA	200	0	lf	90	l	2103	PM	1
27	21	7	2011	wet	Cascada	20	Frog	NA	Espadarana	prosoblepon	EC_140	0	NA	NA	234	NA	m	22.6	22.7	24.48	0.85	NA	300	0	lf	107	l	2110	PM	1
27	21	7	2011	wet	Cascada	22	Frog	NA	Espadarana	prosoblepon	NA	NA	NA	NA	205	R	m	22.5	22.6	NA	NA	NA	175	0	lf	115	r	2120	PM	1
27	21	7	2011	wet	Cascada	23	Frog	NA	Espadarana	prosoblepon	EC_141	0	NA	NA	235	NA	m	22.7	22.7	23.41	0.9	NA	30	0	lf	140	r	2130	PM	1
27	21	7	2011	wet	Cascada	24	Frog	NA	Espadarana	prosoblepon	EC_142	0	NA	NA	241	NA	m	22.7	22.8	23.39	0.75	ampl	150	0	lf	144	r	2142	PM	1
27	21	7	2011	wet	Cascada	25	Frog	NA	Espadarana	prosoblepon	EC_143	0	NA	NA	240	NA	f	22.7	22.8	29.29	1.4	ampl	150	0	lf	144	r	2142	PM	1
27	21	7	2011	wet	Cascada	26	Frog	NA	Espadarana	prosoblepon	EC_144	0.526811853	NA	NA	242	NA	m	22.7	22.7	25.09	0.8	NA	150	50	lf	150	r	2144	PM	1
27	21	7	2011	wet	Cascada	27	Frog	NA	Espadarana	prosoblepon	EC_145	0	NA	NA	102	R	m	22.7	22.7	23.32	0.75	NA	150	75	lf	150	r	2144	PM	1
27	21	7	2011	wet	Cascada	30	Frog	NA	Espadarana	prosoblepon	EC_146	0.643890873	NA	NA	243	NA	m	22.6	22.6	25.09	0.8	NA	100	175	lf	153	r	2156	PM	1
27	21	7	2011	wet	Cascada	33	Frog	NA	Espadarana	prosoblepon	EC_147	0	NA	NA	244	NA	m	22.7	22.8	25.22	0.9	NA	70	0	lf	175	r	2214	PM	1
27	21	7	2011	wet	Cascada	35	Frog	NA	Espadarana	prosoblepon	EC_149	0	NA	NA	245	NA	f	22.8	22.7	27.64	1.2	NA	50	0	lf	185	l	2230	PM	1
27	21	7	2011	wet	Cascada	36	Frog	NA	Espadarana	prosoblepon	NA	NA	NA	NA	222	R	m	22.6	22.7	NA	NA	NA	200	0	lf	187	r	2224	PM	1
27	21	7	2011	wet	Cascada	38	Frog	NA	Espadarana	prosoblepon	EC_150	0	NA	NA	250	NA	m	22.5	22.5	24.85	1	NA	65	0	lf	200	l	2235	PM	1
12	16	7	2011	wet	Guabal	2	Frog	NA	Espadarana	prosoblepon	EC_83	0	NA	NA	151	NA	m	21.4	21.4	26.59	1.1	NA	120	0	lf	98	l	2000	PM	1
12	16	7	2011	wet	Guabal	7	Frog	NA	Espadarana	prosoblepon	EC_86	0	NA	NA	152	NA	m	21.9	22	26.28	0.9	NA	100	0	lf	130	l	2030	PM	1
12	16	7	2011	wet	Guabal	8	Frog	NA	Espadarana	prosoblepon	EC_87	0	NA	NA	153	NA	m	21.8	21.8	24.65	0.85	NA	100	0	lf	130	l	2032	PM	1
12	16	7	2011	wet	Guabal	11	Frog	NA	Espadarana	prosoblepon	EC_89	0	NA	NA	154	NA	m	21.7	21.8	27.88	1.1	NA	120	20	lf	158	l	2049	PM	1
12	16	7	2011	wet	Guabal	12	Frog	NA	Espadarana	prosoblepon	EC_90	0	NA	NA	155	NA	m	21.9	22	22.82	0.8	NA	65	50	lf	163	r	2058	PM	1
15	17	7	2011	wet	Guabal	7	Frog	NA	Espadarana	prosoblepon	NA	NA	NA	NA	NA	NA	m	NA	NA	NA	NA	NA	45	200	lf	165	r	2044	PM	1
19	18	7	2011	wet	Guabal	1	Frog	NA	Espadarana	prosoblepon	EC_97	0	NA	NA	201	NA	f	20.6	20.5	27.82	1	NA	75	300	lf	37	l	1955	PM	1
